Mean_x,Mean_y,Mean_z,Var_x,Var_y,Var_z,Max_x,Max_y,Max_z,Min_x,Min_y,Min_z,Mean_Low_x,Mean_Low_y,Mean_Low_z,Mean_High_x,Mean_High_y,Mean_High_z,Mean_x1,Mean_y1,Mean_z1,Var_x1,Var_y1,Var_z1,Max_x1,Max_y1,Max_z1,Min_x1,Min_y1,Min_z1,Mean_Low_x1,Mean_Low_y1,Mean_Low_z1,Mean_High_x1,Mean_High_y1,Mean_High_z1
-9.959355419244632e-09,-8.881306785529511e-09,-1.2598551619356678e-08,2.345677016718631e-16,4.291211222631722e-16,2.1143466728585008e-17,1.203294334907674e-07,1.6808701312375128e-07,1.5967568695997016e-08,-1.44236222092807e-08,-1.4425632679754491e-08,-1.4423276879903591e-08,-1.4423376079344326e-08,-1.4424713937033199e-08,-1.4422551303800478e-08,1.0442519087664093e-07,1.5046832558724957e-07,1.1820358415548014e-08,-9.959355419244632e-09,-8.881306785529511e-09,-1.2598551619356678e-08,2.345677016718631e-16,4.291211222631722e-16,2.1143466728585008e-17,1.203294334907674e-07,1.6808701312375128e-07,1.5967568695997016e-08,-1.44236222092807e-08,-1.4425632679754491e-08,-1.4423276879903591e-08,-1.4423376079344326e-08,-1.4424713937033199e-08,-1.4422551303800478e-08,1.0442519087664093e-07,1.5046832558724957e-07,1.1820358415548014e-08
6.553078582672048e-07,6.99824436003768e-07,-9.879493706863227e-09,1.462825014947604e-13,1.6288246042940289e-13,3.544993364391387e-18,1.369881423984124e-06,1.4331471389133618e-06,-7.604993727441403e-09,-1.4425108278835816e-08,-1.4425600004804154e-08,-1.4424256487728454e-08,-1.442458377113626e-08,-1.4425373949673867e-08,-1.4424167325690765e-08,1.3252588758838738e-06,1.4172336518814226e-06,-7.619086027688719e-09,6.652672136864495e-07,7.087057427892976e-07,2.719057912493451e-09,1.4604793379308852e-13,1.6245333930713971e-13,-1.759847336419362e-17,1.2495519904933567e-06,1.2650601257896105e-06,-2.357256242343842e-08,-1.4860695551168622e-12,3.267495033780648e-14,-9.79607824863491e-13,-1.207691791934272e-12,-6.600126406683494e-13,-1.6160218902866742e-12,1.220833685007233e-06,1.2667653262941732e-06,-1.9439444443236733e-08
7.049825449333775e-07,7.579673709100198e-07,-9.059249068597458e-09,6.827742651958847e-14,8.040155638856896e-14,6.07573252841506e-18,1.058715019509118e-06,1.2279567094270225e-06,2.6475374754165e-09,-1.441961344135384e-08,-1.4403407306671216e-08,-1.441757798415333e-08,-1.4407978489511233e-08,-1.44001693899421e-08,-1.4414168577325348e-08,1.0451002840277415e-06,1.1674903511513198e-06,1.1601312536502595e-09,4.967468666617267e-08,5.814293490625179e-08,8.202446382657692e-10,-7.800507497517192e-14,-8.248090404083392e-14,2.5307391640236728e-18,-3.111664044750061e-07,-2.051904294863393e-07,1.0252531202857903e-08,5.49483748197681e-12,2.21926981329379e-11,6.678503575123989e-12,1.6605281625027407e-11,2.5204559731766753e-11,9.99874836541685e-12,-2.801585918561323e-07,-2.4974330073010287e-07,8.77921728133898e-09
2.6661080844528945e-07,2.8235153693176403e-07,-1.2059559856960673e-08,1.5023874365223126e-13,1.6905405222228755e-13,1.2679919507731812e-17,1.0518889630018503e-06,1.1239004127165242e-06,8.003595240223394e-09,-1.4426725048192293e-08,-1.4426588902565882e-08,-1.442657128372011e-08,-1.4426675822205017e-08,-1.4426551422475788e-08,-1.4426482014901536e-08,1.0124294686282443e-06,1.091412519914945e-06,1.2487606063142533e-09,-4.3837173648808804e-07,-4.7561583397825576e-07,-3.000310788363215e-09,8.196131713264279e-14,8.865249583371858e-14,6.604186979316753e-18,-6.826056507267653e-09,-1.0405629671049828e-07,5.356057764806895e-09,-7.11160683845317e-12,-2.318159589466582e-11,-8.993299566778841e-12,-1.8697332693783814e-11,-2.6382032533687522e-11,-1.2313437576187462e-11,-3.267081539949719e-08,-7.607783123637486e-08,8.862935266399382e-11
-1.0188708183572951e-08,-9.802783858777768e-09,-1.3617176787324864e-08,6.142929681992331e-16,6.27947293004658e-16,2.7567487751175464e-18,2.664433164954105e-07,2.6370934322529326e-07,5.36553431994065e-10,-1.442621890680469e-08,-1.4426439943233453e-08,-1.4426090129059237e-08,-1.4424777685220625e-08,-1.4424344154833777e-08,-1.442521078848394e-08,2.0821677340887616e-07,1.9392324134584134e-07,-2.84298558057831e-09,-2.767995166288624e-07,-2.921543207905418e-07,-1.5576169303641907e-09,-1.4962445068403204e-13,-1.6842610492928288e-13,-9.923170732614267e-18,-7.854456465064397e-07,-8.60191069491231e-07,-7.467041808229329e-09,5.061413876023031e-13,1.4895933242901916e-13,4.811546608719325e-13,1.898136984391223e-12,2.2072676420101744e-12,1.2712264175959891e-12,-8.042126952193681e-07,-8.974892785691036e-07,-4.0917461868925635e-09
-6.473861943391309e-09,-7.772876737627271e-09,-1.3125442996456465e-08,1.1269243984280972e-15,5.831089834145786e-16,1.3179428116849149e-17,2.8736422125102045e-07,1.9137955191585074e-07,1.5463438109743585e-08,-1.4426146509365703e-08,-1.4426450194198265e-08,-1.442581623609316e-08,-1.442590422354113e-08,-1.4426319494396909e-08,-1.4425705397536128e-08,2.532084591859413e-07,1.5950634339940457e-07,9.875033444124381e-09,3.7148462401816427e-09,2.0299071211504962e-09,4.917337908683991e-10,5.126314302288641e-16,-4.483830959007934e-17,1.0422679341731603e-17,2.092090475560993e-08,-7.232979130944252e-08,1.492688467774952e-08,7.239743898753015e-14,-1.0250964812671817e-14,2.7389296607756327e-13,-1.1265383205051696e-12,-1.9753395631315396e-12,-4.946090521886677e-13,4.4991685777065146e-08,-3.441689794643677e-08,1.2718019024702691e-08
1.6949472919414447e-08,1.6656572749024668e-08,-6.840556470113638e-09,6.818245702968818e-15,6.293995482628358e-15,1.5936277942318866e-16,5.913662705594342e-07,7.568427359150404e-07,5.8002235278243664e-08,-1.4424280833769884e-08,-1.442381505555623e-08,-1.442222423395444e-08,-1.4423063211355788e-08,-1.4422574688813955e-08,-1.4418610234953737e-08,5.300958027047475e-07,5.755680545952259e-07,5.0717037439399604e-08,2.3423334862805758e-08,2.442944948665194e-08,6.284886526342827e-09,5.6913213045407206e-15,5.710886499213779e-15,1.4618335130633951e-16,3.040020493084138e-07,5.654631839991896e-07,4.253879716850008e-08,1.8656755958185896e-12,2.635138642034716e-12,3.59200213872035e-12,2.8410121853422265e-12,3.744805582953914e-12,7.095162582390927e-12,2.7688734351880623e-07,4.1606171119582136e-07,4.084200399527522e-08
6.806928438337794e-09,1.5536212708529384e-08,-1.0414556755737665e-08,8.318109986631666e-16,1.1707484095400166e-15,1.1947398828295277e-17,1.474224492833671e-07,1.795278996291969e-07,3.775621702372977e-09,-1.4416119464066152e-08,-1.4410926389360865e-08,-1.4418722888785786e-08,-1.4413018760772254e-08,-1.4407247894706583e-08,-1.4416085934868749e-08,1.350176282299673e-07,1.5665690448245358e-07,2.3336398554495475e-09,-1.0142544481076654e-08,-1.1203600404952837e-09,-3.5740002856240273e-09,-5.9864347043056514e-15,-5.123247073088341e-15,-1.4741538059489338e-16,-4.4394382127606713e-07,-5.773148362858435e-07,-5.422661357587069e-08,8.161369703731825e-12,1.288866619536583e-11,3.501345168653372e-12,1.0044450583534429e-11,1.5326794107372526e-11,2.5243000849884996e-12,-3.9507817447478024e-07,-4.1891115011277235e-07,-4.8383397583950054e-08
-9.991765108510447e-09,-5.2018919044434905e-09,-1.2674278858382313e-08,7.077129271518732e-17,3.4151755450560733e-16,7.439586434593054e-18,3.806220802779858e-08,7.776076060379041e-08,-3.150755096486866e-09,-1.4426737541555656e-08,-1.4426501449022325e-08,-1.4426548219049282e-08,-1.4426704973386203e-08,-1.4426475180924996e-08,-1.4426504011763529e-08,2.9888328936968584e-08,7.319513033022474e-08,-3.813315524091476e-09,-1.679869354684824e-08,-2.0738104612972876e-08,-2.2597221026446478e-09,-7.610397059479794e-16,-8.292308550344092e-16,-4.507812393702223e-18,-1.0936024125556852e-07,-1.0176713902540649e-07,-6.926376798859844e-09,-1.0618077489503779e-11,-1.5575059661460596e-11,-7.825330263495947e-12,-1.3686212613948693e-11,-1.9227286218413e-11,-1.0418076894779882e-11,-1.0512929929299872e-07,-8.346177415222884e-08,-6.146955379541024e-09
4.6037556500026057e-07,7.458796105394545e-07,-9.013995913356413e-09,1.7845877265294449e-13,1.3116334373330847e-13,9.089867887258554e-18,1.3160582913517791e-06,1.3379692709969411e-06,-2.2622844425290693e-09,-1.4420139443985767e-08,-1.4421393585462005e-08,-1.4422393054531192e-08,-1.4416969439898496e-08,-1.4419188880561208e-08,-1.4420422840450469e-08,1.1899570575593126e-06,1.3016709882249505e-06,-2.5243801476471658e-09,4.70367330108771e-07,7.51081502443898e-07,3.6602829450258993e-09,1.783880013602293e-13,1.3082182617880286e-13,1.6502814526655001e-18,1.2779960833239805e-06,1.2602085103931507e-06,8.884706539577967e-10,6.598097569889536e-12,5.107863560320369e-12,4.155164518090348e-12,9.73553348770712e-12,7.286300363787356e-12,6.081171313059974e-12,1.160068728622344e-06,1.2284758578947257e-06,1.2889353764443104e-09
1.6142639555828416e-07,1.800029723650782e-07,-1.234409729220415e-08,1.3729571018220906e-13,1.6504655822025763e-13,1.3122693857850858e-17,1.1462787122041165e-06,1.23625956922757e-06,5.359147479456532e-09,-1.4426618374089714e-08,-1.4426593387362987e-08,-1.4426260551349238e-08,-1.4426553237750805e-08,-1.4426436526245183e-08,-1.4426240583324032e-08,1.1314997456808507e-06,1.2080308029266524e-06,3.578731529755199e-09,-2.989491694419764e-07,-5.658766381743763e-07,-3.330101378847736e-09,-4.116306247073543e-14,3.388321448694916e-14,4.032825970592304e-18,-1.697795791476626e-07,-1.017097017693712e-07,7.621431921985602e-09,-6.478930103946982e-12,-5.199801900981693e-12,-3.867496818046636e-12,-9.583797852309347e-12,-7.247645683975077e-12,-5.817742873563564e-12,-5.845731187846189e-08,-9.364018529829813e-08,6.103111677402365e-09
-9.972751482353943e-09,-4.986477669991592e-09,-1.3739549842325573e-08,1.2261574424155598e-15,3.0220595838135103e-15,8.26002374211121e-18,4.34021864654277e-07,4.969437191353646e-07,1.7109645319029724e-08,-1.4426082440835628e-08,-1.4426453397624768e-08,-1.4426087886660685e-08,-1.4425853716183255e-08,-1.4426177689383676e-08,-1.442518088983657e-08,3.16906943572958e-07,3.9206080053879773e-07,9.513689655916037e-09,-1.7139914704063812e-07,-1.849894500350698e-07,-1.3954525501214232e-09,-1.360695527397935e-13,-1.6202449863644413e-13,-4.862670115739648e-18,-7.122568475498396e-07,-7.393158500922053e-07,1.1750497839573192e-08,5.3593325408546e-13,1.399897382189653e-13,1.7266468855346305e-13,6.995215675495914e-13,2.588368615071421e-13,1.0596934874617658e-12,-8.145928021078927e-07,-8.159700023878546e-07,5.934958126160837e-09
-1.292375270988571e-08,-1.3343057977829407e-08,-1.4228066286015072e-08,2.2763555655267646e-16,9.549090583990574e-17,1.3192971002375794e-18,2.0249450597633689e-07,1.0385028534623161e-07,-2.0301311647458244e-09,-1.4426077956038523e-08,-1.4426284256705368e-08,-1.4426153877246663e-08,-1.4425842931314025e-08,-1.442616519602031e-08,-1.4425649017229661e-08,1.264609744509945e-07,8.254089588018772e-08,-3.0369463235026947e-09,-2.951001227531767e-09,-8.356580307837814e-09,-4.885164436894995e-10,-9.985218858628832e-16,-2.9265686779736045e-15,-6.940726641873631e-18,-2.315273586779401e-07,-3.93093433789133e-07,-1.9139776483775548e-08,4.484797105026932e-15,1.69140919399986e-13,-6.599058597774911e-14,1.0784869230567161e-14,1.2493363366839644e-14,-4.681273930905063e-13,-1.9044596912196348e-07,-3.0951990465861e-07,-1.2550635979418731e-08
-7.663950846426962e-09,-1.0723158569678135e-08,-1.1285803767745152e-08,7.025016017725031e-16,1.3870601553930093e-16,9.834236049028664e-17,1.5803119027841398e-07,6.895537953679463e-08,5.566815829809531e-08,-1.4426181106371944e-08,-1.4426486072575107e-08,-1.4426581855027571e-08,-1.4426152809437828e-08,-1.4426233322223957e-08,-1.4425951207129852e-08,1.51637764855566e-07,5.749156649070878e-08,5.184669659934363e-08,5.259801863458747e-09,2.6198994081512717e-09,2.94226251826992e-09,4.748660452198266e-16,4.321510969939519e-17,9.702306339004906e-17,-4.4463315697922905e-08,-3.4894905809436975e-08,5.769828946284113e-08,-1.0315033342058252e-13,-2.0181586973944683e-13,-4.2797778090878244e-13,-3.098781238036739e-13,-6.812620364767613e-14,-3.021899001912749e-13,2.517679040457149e-08,-2.504932938947894e-08,5.488364292284632e-08
-1.3832598092635341e-08,-1.3707582177562612e-08,-1.3743372278164663e-08,3.1311650285791588e-18,5.0485623917405004e-18,2.160774572001957e-18,4.411837253967734e-09,8.906115475045158e-09,-7.993013546145335e-10,-1.4426575768517213e-08,-1.4426676035766785e-08,-1.4425929637391396e-08,-1.442642563459507e-08,-1.4426631081014847e-08,-1.4425767330448536e-08,-3.417186347058651e-11,3.141727773896417e-09,-4.7415713504715155e-09,-6.168647246208379e-09,-2.984423607884477e-09,-2.4575685104195104e-09,-6.993704367439239e-16,-1.3365745314756044e-16,-9.618158591828468e-17,-1.5361935302444625e-07,-6.004926406174947e-08,-5.646745965270984e-08,-3.946621452688398e-13,-1.8996319167805207e-13,6.522176361750183e-13,-2.728251572417726e-13,-3.977587908903167e-13,1.8387668131603038e-13,-1.516719367190366e-07,-5.434983871681237e-08,-5.658826794981515e-08
-1.3680524779153888e-08,-1.3488300354378876e-08,-1.3716678756995226e-08,7.285767008265126e-18,6.961861157359418e-18,2.925499386044804e-18,1.9100447349884322e-08,9.554394327533682e-09,8.470328890879618e-10,-1.442388937505112e-08,-1.4425484040764715e-08,-1.4425610255768965e-08,-1.4423575973158162e-08,-1.4424644209116299e-08,-1.4424611107042427e-08,9.544205866584094e-09,6.0934489555409665e-09,-2.945984977628957e-09,1.52073313481453e-10,2.192818231837358e-10,2.6693521169436934e-11,4.154601979685967e-18,1.9132987656189173e-18,7.647248140428469e-19,1.4688610095916588e-08,6.482788524885239e-10,1.6463342437024953e-09,2.686393466093112e-12,1.1919950020699865e-12,3.193816224316231e-13,2.8496614369078298e-12,1.9868718985484837e-12,1.1562234061090487e-12,9.57837773005468e-09,2.9517211816445493e-09,1.7955863728425584e-09
1.3288596076875324e-07,2.1056126627902487e-07,-1.2863046873877051e-08,4.677708450136725e-14,1.0309211423456725e-13,1.063622389143279e-17,6.763927304071626e-07,1.0041762238856004e-06,6.295261408510681e-09,-1.4426098137625496e-08,-1.4426174379176285e-08,-1.4425423496003794e-08,-1.4425644212089907e-08,-1.442517373551738e-08,-1.4425037376329202e-08,6.695775059536537e-07,9.67130326286464e-07,4.961215388282174e-09,1.4656648554790713e-07,2.2404956663340373e-07,8.536318831181741e-10,4.676979873435898e-14,1.0308515237340989e-13,7.710724505387986e-18,6.572922830572783e-07,9.946218295580667e-07,5.448228519422719e-09,-2.208762574376311e-12,-6.903384115694016e-13,1.8675976517068e-13,-2.0682389317444134e-12,-5.29526401080642e-13,-4.262692867741643e-13,6.600333000870696e-07,9.610368773309229e-07,7.907200365911131e-09
